PTEMARB.DAT     2.1             Comments, times with seconds, time zone, coord info
   1
Test Example
UTM
  19N        
NAS-C   02-21-2003  
  KM
UTC-0500
1988  11   0  0000  1988  11  24 0000
   3   2
'POL1'    'POL2'
      30.000      30.000
'Source 1'      0.13489    0.00360  18.600   9.754   88.70    1.00  1.00    0.00
   18.590   18.590   18.590   27.430   28.960   14.330
   18.590   18.590   18.590   18.590   28.960   18.590
   18.590   18.590   18.590   18.590   18.590   18.590
   18.590   18.590   18.590   27.430   28.960   28.960
   28.960   28.960   28.960   28.960   28.960   18.590
   18.590   18.590   18.590   18.590   18.590   18.590
   19.010   26.080   22.550   96.020   88.200   14.330
   14.200   18.480   22.160   25.660   85.390   20.820
   21.590   21.690   22.250   22.320   21.720   20.450
   19.010   26.080   22.550   53.360   88.200   87.590
   84.330   85.190   87.930   88.000   85.390   20.820
   21.590   21.690   22.250   22.320   21.720   20.450
'Source 2'      0.07380   -0.00280  50.100   4.251   88.70    0.00   1.0    0.00
'Source 3'      0.01272   -0.00919  35.850   3.100   88.70    0.00   1.0    0.00
   1988   11  00 0000    1988   11  00 3600
'Source 1'    280.55      8.66 0.0   0.0    0.468814E+01  0.202236E+02
'Source 2'    380.4       8.66 0.0   0.0    610.          120.
'Source 3'    280.55      2.66 0.0   0.0    0.468814E+01  0.202236E+02
   1988   11  01 0000    1988   11  01 3600
'Source 1'    279.27      8.50 0.0   0.0    0.449538E+01  0.204942E+02
'Source 2'    380.4       8.66 0.0   0.0    0.0           0.0
'Source 3'    279.27      2.66 0.0   0.0    0.449538E+01  0.204942E+02
   1988   11  02 0000    1988   11  02 3600
'Source 1'    279.26      8.50 0.0   0.0    0.449753E+01  0.204895E+02
'Source 2'    380.4       8.66 0.0   0.0    0.0
'Source 3'    279.26      2.66 0.0   0.0    0.449753E+01  0.204895E+02
   1988   11  03 0000    1988   11  22 3600
'Source 1'    277.97      8.41 0.0   0.0    0.430570E+01  0.207542E+02
'Source 2'    380.4       8.66 0.0   0.0    0.0           0.0
'Source 3'    277.97      2.66 0.0   0.0    0.430570E+01  0.207542E+02
   1988   11  23 0000    1988   11  23 3600
'Source 1'    285.82      8.90 0.0   0.0    0.553510E+01  0.189712E+02
'Source 2'    380.4       8.66 0.0   0.0    610.          120.
'Source 3'    285.82      2.66 0.0   0.0    0.553510E+01  0.189712E+02
